"key","source","Translation"
"AI_a_Alert_Enter_00_Loca1","AI_a_Alert_Enter_00_Loca1",""
"AI_a_Alert_Enter_00_Loca2","Here! There's somebody here!","Тут! Там хтось є!"
"AI_a_Alert_Enter_01_Loca1","AI_a_Alert_Enter_01_Loca1",""
"AI_a_Alert_Enter_01_Loca2","An intruder!","Зловмисник!"
"AI_a_Alert_Enter_02_Loca1","AI_a_Alert_Enter_02_Loca1",""
"AI_a_Alert_Enter_02_Loca2","He's here!","Він тут!"
"AI_a_Alert_Roaming_00_Loca1","AI_a_Alert_Roaming_00_Loca1",""
"AI_a_Alert_Roaming_00_Loca2","You won't escape me!","Тобі не втекти від мене!"
"AI_a_Alert_Roaming_01_Loca1","AI_a_Alert_Roaming_01_Loca1",""
"AI_a_Alert_Roaming_01_Loca2","Show yourself!","Покажись!"
"AI_a_Alert_Roaming_02_Loca1","AI_a_Alert_Roaming_02_Loca1",""
"AI_a_Alert_Roaming_02_Loca2","You can't hide forever!","Ти не зможеш ховатися вічно!"
"AI_a_Catch_00_Loca1","AI_a_Catch_00_Loca1",""
"AI_a_Catch_00_Loca2","I've got you!","Ось ти й попався!"
"AI_a_Catch_01_Loca1","AI_a_Catch_01_Loca1",""
"AI_a_Catch_01_Loca2","Gotcha!","Впіймав!"
"AI_a_Catch_02_Loca1","AI_a_Catch_02_Loca1",""
"AI_a_Catch_02_Loca2","Visit's over!","Екскурсія закінчилась!"
"AI_a_Search_Enter_00_Loca1","AI_a_Search_Enter_00_Loca1",""
"AI_a_Search_Enter_00_Loca2","I saw something.","Я бачив щось."
"AI_a_Search_Enter_01_Loca1","AI_a_Search_Enter_01_Loca1",""
"AI_a_Search_Enter_01_Loca2","Is there somebody, over there?","Хто там?"
"AI_a_Search_Enter_02_Loca1","AI_a_Search_Enter_02_Loca1",""
"AI_a_Search_Enter_02_Loca2","I'll take a look.","Зараз перевірю."
"AI_a_Search_Roaming_00_Loca1","AI_a_Search_Roaming_00_Loca1",""
"AI_a_Search_Roaming_00_Loca2","Let's see...","Подивимось..."
"AI_a_Search_Roaming_01_Loca1","AI_a_Search_Roaming_01_Loca1",""
"AI_a_Search_Roaming_01_Loca2","There was something over here.","Там було щось"
"AI_a_Search_Roaming_02_Loca1","AI_a_Search_Roaming_02_Loca1",""
"AI_a_Search_Roaming_02_Loca2","If there is anybody, I'll catch them.","Якщо там хтось є, я його спіймаю."
"AI_a_Suspicious_Enter_00_Loca1","AI_a_Suspicious_Enter_00_Loca1",""
"AI_a_Suspicious_Enter_00_Loca2","What's that?","Що це?"
"AI_a_Suspicious_Enter_01_Loca1","AI_a_Suspicious_Enter_01_Loca1",""
"AI_a_Suspicious_Enter_01_Loca2","What?","Що?"
"AI_a_Suspicious_Enter_02_Loca1","AI_a_Suspicious_Enter_02_Loca1",""
"AI_a_Suspicious_Enter_02_Loca2","Mmmh?","Хммм?"
"AI_a_Vigilant_Enter_00_Loca1","AI_a_Vigilant_Enter_00_Loca1",""
"AI_a_Vigilant_Enter_00_Loca2","I'm not crazy; I know there's someone.","Я не божевільний; я відчуваю, там хтось є."
"AI_a_Vigilant_Enter_01_Loca1","AI_a_Vigilant_Enter_01_Loca1",""
"AI_a_Vigilant_Enter_01_Loca2","Wait till I get hold of you...","Почекай, тільки я тебе впіймаю..."
"AI_a_Vigilant_Enter_02_Loca1","AI_a_Vigilant_Enter_02_Loca1",""
"AI_a_Vigilant_Enter_02_Loca2","You'll get what's coming to you.","Зараз ти в мене отримаєш."
"AI_a_Vigilant_Roaming_00_Loca1","AI_a_Vigilant_Roaming_00_Loca1",""
"AI_a_Vigilant_Roaming_00_Loca2","I know you're round here somewhere...","Я знаю ти десь тут, поруч..."
"AI_a_Vigilant_Roaming_01_Loca1","AI_a_Vigilant_Roaming_01_Loca1",""
"AI_a_Vigilant_Roaming_01_Loca2","You can hide, but I'll catch you.","Ти можеш ховатись, але я все одно спіймаю тебе."
"AI_a_Vigilant_Roaming_02_Loca1","AI_a_Vigilant_Roaming_02_Loca1",""
"AI_a_Vigilant_Roaming_02_Loca2","You won't make a fool of me for long.","Ти не зможеш дурити мене вічно."
"AI_b_Alert_Enter_00_Loca1","AI_b_Alert_Enter_00_Loca1",""
"AI_b_Alert_Enter_00_Loca2","Here! There's somebody here!","Тут! Там хтось є!"
"AI_b_Alert_Enter_01_Loca1","AI_b_Alert_Enter_01_Loca1",""
"AI_b_Alert_Enter_01_Loca2","An intruder!","Зловмисник!"
"AI_b_Alert_Enter_02_Loca1","AI_b_Alert_Enter_02_Loca1",""
"AI_b_Alert_Enter_02_Loca2","He's here!","Він тут!"
"AI_b_Alert_Roaming_00_Loca1","AI_b_Alert_Roaming_00_Loca1",""
"AI_b_Alert_Roaming_00_Loca2","You won't escape me!","Тобі не втекти від мене!"
"AI_b_Alert_Roaming_01_Loca1","AI_b_Alert_Roaming_01_Loca1",""
"AI_b_Alert_Roaming_01_Loca2","Show yourself!","Покажися!"
"AI_b_Alert_Roaming_02_Loca1","AI_b_Alert_Roaming_02_Loca1",""
"AI_b_Alert_Roaming_02_Loca2","You can't hide forever!","Ти не зможеш ховатись вічно!"
"AI_b_Catch_00_Loca1","AI_b_Catch_00_Loca1",""
"AI_b_Catch_00_Loca2","I've got you!","Ось ти й попався!"
"AI_b_Catch_01_Loca1","AI_b_Catch_01_Loca1",""
"AI_b_Catch_01_Loca2","Gotcha!","Впіймав!"
"AI_b_Catch_02_Loca1","AI_b_Catch_02_Loca1",""
"AI_b_Catch_02_Loca2","Visit's over!","Екскурсія закінчилась!"
"AI_b_Search_Enter_00_Loca1","AI_b_Search_Enter_00_Loca1",""
"AI_b_Search_Enter_00_Loca2","I saw something.","Я бачив щось."
"AI_b_Search_Enter_01_Loca1","AI_b_Search_Enter_01_Loca1",""
"AI_b_Search_Enter_01_Loca2","Is there somebody, over there?","Хто там?"
"AI_b_Search_Enter_02_Loca1","AI_b_Search_Enter_02_Loca1",""
"AI_b_Search_Enter_02_Loca2","I'll take a look.","Зараз перевірю."
"AI_b_Search_Roaming_00_Loca1","AI_b_Search_Roaming_00_Loca1",""
"AI_b_Search_Roaming_00_Loca2","Let's see...","Подивимось..."
"AI_b_Search_Roaming_01_Loca1","AI_b_Search_Roaming_01_Loca1",""
"AI_b_Search_Roaming_01_Loca2","There was something over here.","Там було щось."
"AI_b_Search_Roaming_02_Loca1","AI_b_Search_Roaming_02_Loca1",""
"AI_b_Search_Roaming_02_Loca2","If there is anybody, I'll catch them.","Якщо там хтось є, я його спіймаю."
"AI_b_Suspicious_Enter_00_Loca1","AI_b_Suspicious_Enter_00_Loca1",""
"AI_b_Suspicious_Enter_00_Loca2","What's that?","Що це?"
"AI_b_Suspicious_Enter_01_Loca1","AI_b_Suspicious_Enter_01_Loca1",""
"AI_b_Suspicious_Enter_01_Loca2","What?","Що?"
"AI_b_Suspicious_Enter_02_Loca1","AI_b_Suspicious_Enter_02_Loca1",""
"AI_b_Suspicious_Enter_02_Loca2","Mmmh?","Хммм?"
"AI_b_Vigilant_Enter_00_Loca1","AI_b_Vigilant_Enter_00_Loca1",""
"AI_b_Vigilant_Enter_00_Loca2","I'm not crazy; I know there's someone.","Я не божевільний; я відчуваю, там хтось є."
"AI_b_Vigilant_Enter_01_Loca1","AI_b_Vigilant_Enter_01_Loca1",""
"AI_b_Vigilant_Enter_01_Loca2","Wait till I get hold of you...","Почекай, тільки я тебе впіймаю..."
"AI_b_Vigilant_Enter_02_Loca1","AI_b_Vigilant_Enter_02_Loca1",""
"AI_b_Vigilant_Enter_02_Loca2","You'll get what's coming to you.","Зараз ти в мене отримаєш."
"AI_b_Vigilant_Roaming_00_Loca1","AI_b_Vigilant_Roaming_00_Loca1",""
"AI_b_Vigilant_Roaming_00_Loca2","I know you're round here somewhere...","Я знаю ти десь тут, поруч..."
"AI_b_Vigilant_Roaming_01_Loca1","AI_b_Vigilant_Roaming_01_Loca1",""
"AI_b_Vigilant_Roaming_01_Loca2","You can hide, but I'll catch you.","Ти можеш ховатись, але я все одно спіймаю тебе."
"AI_b_Vigilant_Roaming_02_Loca1","AI_b_Vigilant_Roaming_02_Loca1",""
"AI_b_Vigilant_Roaming_02_Loca2","You won't make a fool of me for long.","Ти не зможеш дурити мене вічно."
"AslGuad_a_Alert_Enter_00_Loca1","AslGuad_a_Alert_Enter_00_Loca1",""
"AslGuad_a_Alert_Enter_00_Loca2","Hey!","Агов!"
"AslGuad_a_Alert_Enter_01_Loca1","AslGuad_a_Alert_Enter_01_Loca1",""
"AslGuad_a_Alert_Enter_01_Loca2","You, there!","Гей, ти!"
"AslGuad_a_Alert_Enter_02_Loca1","AslGuad_a_Alert_Enter_02_Loca1",""
"AslGuad_a_Alert_Enter_02_Loca2","This way!","Сюди!"
"AslGuad_a_Alert_Roaming_00_Loca1","AslGuad_a_Alert_Roaming_00_Loca1",""
"AslGuad_a_Alert_Roaming_00_Loca2","You won't get far!","Тобі далеко не втекти!"
"AslGuad_a_Alert_Roaming_01_Loca1","AslGuad_a_Alert_Roaming_01_Loca1",""
"AslGuad_a_Alert_Roaming_01_Loca2","Just you wait!","От тільки попадись мені!"
"AslGuad_a_Alert_Roaming_02_Loca1","AslGuad_a_Alert_Roaming_02_Loca1",""
"AslGuad_a_Alert_Roaming_02_Loca2","Come out of your hiding hole!","Вилазь зі своєї нори!"
"AslGuad_a_Catch_00_Loca1","AslGuad_a_Catch_00_Loca1",""
"AslGuad_a_Catch_00_Loca2","I've got you!","Ось ти й попався!"
"AslGuad_a_Catch_01_Loca1","AslGuad_a_Catch_01_Loca1",""
"AslGuad_a_Catch_01_Loca2","The walk is over!","Прогулянка закінчилася!"
"AslGuad_a_Catch_02_Loca1","AslGuad_a_Catch_02_Loca1",""
"AslGuad_a_Catch_02_Loca2","I've got him!","Я схопив його!"
"AslGuad_a_Catch_Drawer_Loca1","AslGuad_a_Catch_Drawer_Loca1",""
"AslGuad_a_Catch_Drawer_Loca2","Found you!","Знайшов!"
"AslGuad_a_Search_Enter_00_Loca1","AslGuad_a_Search_Enter_00_Loca1",""
"AslGuad_a_Search_Enter_00_Loca2","I think we've got a walker!","Схоже, тут хтось швендяє!"
"AslGuad_a_Search_Enter_01_Loca1","AslGuad_a_Search_Enter_01_Loca1",""
"AslGuad_a_Search_Enter_01_Loca2","Who's there?","Хто там?"
"AslGuad_a_Search_Enter_02_Loca1","AslGuad_a_Search_Enter_02_Loca1",""
"AslGuad_a_Search_Enter_02_Loca2","I'll go take a look.","Піду подивлюся."
"AslGuad_a_Search_Roaming_00_Loca1","AslGuad_a_Search_Roaming_00_Loca1",""
"AslGuad_a_Search_Roaming_00_Loca2","Is there anybody round here?","Хто там?"
"AslGuad_a_Search_Roaming_01_Loca1","AslGuad_a_Search_Roaming_01_Loca1",""
"AslGuad_a_Search_Roaming_01_Loca2","Come on, show yourself!","Ну ж бо, покажися!"
"AslGuad_a_Search_Roaming_02_Loca1","AslGuad_a_Search_Roaming_02_Loca1",""
"AslGuad_a_Search_Roaming_02_Loca2","I saw something over there.","Я щось бачив там."
"AslGuad_a_Suspicious_Enter_00_Loca1","AslGuad_a_Suspicious_Enter_00_Loca1",""
"AslGuad_a_Suspicious_Enter_00_Loca2","What...?","Що...?"
"AslGuad_a_Suspicious_Enter_01_Loca1","AslGuad_a_Suspicious_Enter_01_Loca1",""
