"key","source","Translation"
"8F602BD241989E9C984784ACE10A92E3","I found Sarah Hawkins, alive, prisoner of the Riverside Institute. Charles Hawkins and Dr. Fuller seem to have connived to hide her from the world.<lf>She seems to be very affected by the tragedies that have struck her family, but I detect a fighting spirit in this woman that I would better not underestimate. She's a survivor.","Я знайшов Сару Гокінс. Живу. Ув'язнену в Інституті Ріверсайд. Чарльз Гокінс і доктор Фуллер, здається, змовилися, щоби приховати її від усього світу.<lf>Вона вражена подіями, що спіткали її родину, але я відчуваю в ній силу волі, яку не варто недооцінювати. Вона не з тих, хто опускає руки."
"ABE656B24D897E470EB1F794B2A281A8","Sarah Hawkins","Сара Гокінс"
"BAFA82F04439BA56A4AF90B0CA4CEB5D","Painter","Художниця"
"5B6A703845DFB683B4E8CF9F60C1CF1B","Asylum inmate","Пацієнт"
"D61B65724C096BE43378AEBEE64066D0","Unknown","Невідомо"
"AE82807846320B0DE84E0CB8A6B47325","Member of asylum staff","Медбрат психлікарні"
"556044EF42AE09D39A1ECBAA3E296B26","Asylum staff","Персонал психлікарні"
"DE89C522468A4B390542BDB81A69DE37","Roy Mitchell runs the only bar on Darkwater. <lf><lf>Prohibition has no hold on The Stranded Whale, and sailors come to seek some comfort in Mitchell's whiskey. The man therefore knows, more than anyone, the secrets and rumors that the inhabitants of the island exchange after a few glasses.<lf><lf>Mitchell is devoted to the golden age of whale hunting, if the numerous trophies that decorate his establishment are anything to go by. <lf>The man will talk freely on this subject on which he is so keen, but he will be far less enthusiastic if one was to enquire about his source of liquor.…","Рой Мітчелл тримає єдиний бар у Дарквотері.<lf><lf>У «Киті, що сів на мілину» не діє сухий закон, і моряки приходять сюди, щоб знайти розраду у віскі Мітчелла. Тому він, як ніхто інший, знає таємниці та чутки, якими обмінюються мешканці острова після кількох келихів.<lf><lf>Мітчелл схоже відданий золотій добі полювання на китів, про це свідчать численні трофеї, що прикрашають його заклад.<lf>Чоловік буде вільно говорити на цю тему, якою він так захоплюється, але він буде набагато менш балакучим, якщо хтось запитає про джерело його алкоголю..."
"A814340A4E6636F71336B49BACE994E6","Roy Mitchell","Рой Мітчелл"
"CAFB9CDB492BE2E61D01D48B50DC2BF2","Owner of The Stranded Whale bar","Власник «Кита, що сів на мілину»"
"9F25E2B048066C0CA0E771A10D7A0501","James Fitzroy is the captain of the Charybdis, the only boat that still sails between Darkwater and Boston. <lf><lf>His base is the harbormaster's office, from where he misses nothing that happens on the island. The inhabitants of Darkwater respect him; the bootleggers despise him.<lf><lf>He offered to help me in my investigation.","Джеймс Фіцрой — капітан «Харибди», єдиного корабля, який досі курсує між Дарквотером і Бостоном.<lf><lf>Його база — кабінет начальника порту, звідки він не пропускає нічого, що відбувається на острові. Мешканці Дарквотера поважають його, а бутлеґери зневажають.<lf><lf>Він запропонував мені допомогти в моєму розслідуванні."
"87A5D38E41E2E8425DB8C2A999147D5C","James Fitzroy","Джеймс Фіцрой"
"42CF3ECD4292E6968D78DE9024EB8123","Captain","Капітан"
"D84A909A46B832AEDE2708BD630D92F5","Algernon Drake is the owner of The Nameless Bookstore, and a friend of Sarah Hawkins. <lf><lf>It would seem that the two of them were united in a common thirst for knowledge about the occult. He has a strange collection of parchments and books of spells, and he seems to know a lot about the island's clandestine activities. <lf><lf>If I decide to explore the occult trail, he will be an excellent guide.","Алджернон Дрейк — власник «Безіменної книгарні» та друг Сари Гокінс.<lf><lf>Здається, їх єднала спільна жага до окультних знань. У нього є дивна колекція пергаментів і книг заклять, а також, схоже, він багато знає про таємні справи на острові.<lf><lf>Якщо я вирішу йти окультним слідом, він стане чудовим провідником."
"2AA00DCF4317EDBFA3AB45BECA438E55","Algernon Drake","Алджернон Дрейк"
"4DDBDB2B4A1633E21C303189076F8853","Bookseller","Книгар"
"78A02C744CD6A7395B51079A67E59726","Only son of Sarah and Charles Hawkins. He died in the fire that claimed his whole family.","Єдиний син Сари та Чарльза Гокінсів. Загинув у пожежі, яка забрала всю його родину."
"10696F3E49B14E45C7C3EBBD26680FA0","Simon Hawkins","Саймон Гокінс"
"ED01673E4894D169826BA697EBAD1411","Schoolboy","Школяр"
"7C1CBA4B45852307E334DEAEBDC615F5","It's clear that she holds Sarah Hawkins responsible for the death of her husband. But what I don't understand about Irene Sanders is this mix of sadness and insensitivity. It looks like she had given up on her husband long before his horrid death in the cellars of the Riverside Institute.","Зрозуміло, що вона вважає Сару Гокінс відповідальною за смерть свого чоловіка. Але чого я не розумію в Ірен Сандерс, так це цієї суміші смутку і нечутливості. Схоже, що вона махнула рукою на свого чоловіка задовго до його жахливої смерті в підземеллях Інституту Ріверсайд."
"35B5B7B942EE6E1F3FDD5499E4030D1E","Irene Sanders","Ірен Сандерс"
"596BCAC3464254A027532BB2995F1402","None","Немає"
"8686240240A6D1508EA66DA3B0CCDADC","Francis Sanders, retired art dealer, moved to Darkwater to find some peace and quiet, as well as artifacts from lost civilizations. <lf>Fascinated by the work of Sarah Hawkins, he set his heart on owning one of her strangest paintings: the Shambler. He was so insistent and adept in his request to buy the painting that the painter gave it to him.","Френсіс Сандерс, арт-дилер на пенсії, переїхав до Дарквотера, щоб знайти спокій і тишу, а також артефакти зниклих цивілізацій.<lf>Захоплений творчістю Сари Гокінс, він задумав придбати одну з її найдивніших картин — «Блукача». Він був настільки наполегливим і вправним у своєму проханні купити картину, що художниця віддала її йому."
"97D9EC804B2B340C44EFF183DFE871A2","Francis Sanders","Френсіс Сандерс"
"15D3604D43C8BAD665192B8F3AEBA182","Art dealer","Арт-дилер"
"69C1D8884CBD11F2481396B7145A5684","The old caretaker of the Hawkins family, Silas Winchester still watches over the family graveyard and the burned out mansion. Devoted to Charles Hawkins, whom he all but raised, he also has great respect for the memory of Sarah Hawkins and their child, Simon. His long months of solitude in the abandoned property have made him very distrustful.<lf>Silas still puts flowers on the graves of Charles, Sarah and Simon.","Старий доглядач родини Гокінсів, Сайлас Вінчестер, досі доглядає за родинним кладовищем і згорілим маєтком. Відданий Чарльзу Гокінсу, якого він практично виростив, він також з великою повагою ставиться до пам'яті Сари Гокінс та їхнього сина Саймона. Тривалі місяці самотності в покинутому маєтку зробили його дуже недовірливим.<lf>Сайлас досі покладає квіти на могили Чарльза, Сари і Саймона."
"E77EA7F2408A1D463D8A5DBABC8AD51E","Silas Winchester","Сайлас Вінчестер"
"F3DCACFA4BA8643CD84A0798127E2ED9","Caretaker of the Hawkins property","Доглядач майна Гокінсів"
"766754624735503A320BEE908AE9D758","Associate female","Асистентка"
"A6AF911A4FC8CCAE84F175AA841F1695","Associate male","Асистент"
"941FC7654AE467368F64F6B49F7A67F0","Visitor","Відвідувач"
"D3D96BE0413507312CC8FCA0533A2DC2","Visitor","Відвідувач"
"7CD3908843E1340B28EEBB98401F55AB","Companion","Компаньйон"
"82E8AF1041506CD1F9DFC0BB85557370","{Conman_Name} like to pretend he is a salesman or a philanthropist or a rich billionaire, in short he is a chameleon, most likely a con. I know his kind but if Webster trusts him maybe he can be of help in this investigation.","{Conman_Name} любить прикидатися продавцем, філантропом або багатим мільярдером, коротше кажучи, він хамелеон, швидше за все, шахрай. Я знаю таких, але якщо Вебстер йому довіряє, можливо, він зможе допомогти в цьому розслідуванні."
"E442BE3D456C6CE781B3EBA16D45E106","{Conman_FullName}","{Conman_FullName}"
"3A6B6C97490EBF6BC4E0369EEE20B3B3","Con man","Шахрай"
"0CFDF03A4A606D87E508F6B485AC3BA7","Cultist","Окультист"
"1C39A4F543F75B065214C99034658A8D","Cultist","Окультист"
"EAABC397461A531883688294FF852265","Dimensional Shamblers are creatures living in another dimension that can be summoned to our level of existence by certain spells or rituals. They are hunters and once they have chosen a victim they will attempt to drag them into their world by using a form of hypnosis. When they do so, it seems as if the place around them disappears and their own dimension become thus visible. Shamblers can also move quickly by jumping out of portals that are linked to their dimension.","Міжвимірні Блукачі — це істоти, що живуть в іншому вимірі, яких можна викликати в наш вимір за допомогою певних заклинань або ритуалів. Вони є мисливцями і, вибравши жертву, намагаються затягнути її у свій вимір за допомогою гіпнозу. Коли вони це роблять, здається, ніби місце навколо них зникає, і їхній власний вимір стає видимим. Блукачі також можуть швидко пересуватися, вистрибуючи з порталів, пов'язаних з їхнім виміром."
"9B53EE814D7AF0BCB39525A0A3047F17","Dimensional Shambler","Міжвимірний Блукач"
"BC9A51FB4BDFDF6FF8FAA3A77A1720BE","Dimensional Shambler","Міжвимірний Блукач"
"60C2BCD8473C76A5E063A6B31F49BDB7","Docker","Докер"
"F7E820354E69E6E7E19D769479EF5223","Docker","Докер"
"9E4968DB4E1700AE806C9B9E57B0C777","Dr. Fuller reigns as the undisputed master of the Riverside Institute and of its cellars, in which he carries out illegal experiments on his patients. I don't know what he has done to me, but I shouldn't be back on my feet so soon after my fall when the tunnels under the Hawkins mansion caved in. This man is dangerous and I'd swear that he knows more about all this business than he's willing to tell.","Доктор Фуллер є беззаперечним господарем Інституту Ріверсайд і його підземель, в яких він проводить незаконні експерименти над своїми пацієнтами. Я не знаю, що він зробив зі мною, але після обвалу катакомб під маєтком Гокінсів мені не варто було так швидко ставати на ноги. Ця людина небезпечна, і я можу заприсягтися, що він знає про все це більше, ніж хоче розповісти."
"19607609464FA81BE67AB4B5A6CE9AEB","Dr. Fuller","Доктор Фуллер"
"E0D307A6438E260CA871FE88F30AAE0D","Riverside's Senior Physician","Головний лікар Ріверсайду"
"6DE3CB4948C9FD5B73BFFDBD88C505B4","Doris","Доріс"
"F886FDC54FD2C5045DB2BD9CE66D7174","Nurse","Медсестра"
"FF11102D4430308B998D018F42D012C1","Marlin","Марлін"
"5C36E82344EC312F8B68D181DF3E3089","CHARACTER_PROFILE_CHARACTERPROFILE_BASE_DESCRIPTION",""
"7254EC134D5E08B695D67B8D3F6ACED6","Evans","Еванс"
